id,internship_name,company,stipend,posted,portal,applied_date,call_back
2227785,Email Marketing,Lawtech,"₹ 5,000-7,000 /month",Few hours ago,internshala,2023-07-08,
2213660,Web Development (Front-End),TechFinna,"₹ 1,000 /month",unknown,internshala,2023-07-08,
2219897,DSA+MERN Stack Mentoring,Codefeast,"₹ 10,000-30,000 /month",unknown,internshala,2023-07-09,
2225459,Marketing Automation,Bijon Trading Private Limited (Genotek),"₹ 10,000-50,000 /month",2 days ago,internshala,2023-07-09,
2227706,WordPress Development,Garmin Express Updater,"₹ 10,000 /month",Today,internshala,2023-07-09,
2228163,Backend Development,TFN Enterprise (OPC) Private Limited,"₹ 5,000 /month",Few hours ago,internshala,2023-07-09,
2228230,Web Development,Jai Ambe Corporation,"₹ 4,000 /month",Just now,internshala,2023-07-09,
2228205,Full Stack Development,TechlyAssist,"₹ 3,000 /month",Few hours ago,internshala,2023-07-09,
2228178,Artificial Intelligence (AI) Development,Phoenix International Holdings Group Inc.,"₹ 2,500 /month",Few hours ago,internshala,2023-07-09,
2227970,Business Development (Sales),Krishpar Technologies Private Limited,"₹ 2,500 /month",Today,internshala,2023-07-09,
2228007,Flutter Development,Callvcal Technology Private Limited,"₹ 1,000 /month +  Incentives",Today,internshala,2023-07-09,
2228098,WordPress Development,Triluxo Technologies Private Limited,"₹ 1,000 /month",Today,internshala,2023-07-09,
2228041,PHP - Laravel Development,WebShark Web Services,"₹ 18,000-23,000 /month",Today,internshala,2023-07-09,
2212850,Game Development,MentorBoxx,"₹ 18,000 /month",unknown,internshala,2023-07-09,
2217415,Android App Development,Waste Samaritan,"₹ 15,000 /month +  Incentives",unknown,internshala,2023-07-09,
2220977,Web App Development,KidZoo,"₹ 12,000-18,000 /month",unknown,internshala,2023-07-09,
2224228,Web Development,Wikasta Business And Technical Solutions Private Limited,"₹ 12,000 /month",unknown,internshala,2023-07-09,
2215902,Technical Doubt Support,Bosscoder Academy,"₹ 10,000-20,000 /month",unknown,internshala,2023-07-09,
2227101,Mobile App Development,Modgenics Technology Solutions Private Limited,"₹ 10,000-15,000 /month",1 day ago,internshala,2023-07-09,
2227099,Web Development,Modgenics Technology Solutions Private Limited,"₹ 10,000-15,000 /month",1 day ago,internshala,2023-07-09,
2227585,JavaScript Development,Yougetplaced Technology Services,"₹ 10,000 /month",1 day ago,internshala,2023-07-09,
2224782,Machine Learning,Solocl,"₹ 10,000 /month",Today,internshala,2023-07-09,
2225849,Mobile App Development (Flutter),Omikron Technologies Private Limited,"₹ 10,000 /month",2 days ago,internshala,2023-07-09,
2223767,Full Stack Development,Storiesofcommonman,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2223186,Full Stack Development,The Learn Cloud,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2215549,Full Stack Development,Fleksa,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2217955,Web Development,Buddha Education Association Incorporation,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2225415,Full Stack Development,DevTown,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2220144,UI/UX Design,Profit Pay Management,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2221804,Internet Of Things (IoT) Content Creation,DevTown,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2227601,AI LLM ChatGPT Development,FlexiEle Consulting Services Private Limited,"₹ 10,000 /month",Today,internshala,2023-07-09,
2218062,Artificial Intelligence (AI) Engineering,Ostello India Private Limited,"₹ 8,000-15,000 /month",unknown,internshala,2023-07-09,
2214387,Flutter Development,AMS INFOTECH,"₹ 8,000-10,000 /month",unknown,internshala,2023-07-09,
2226553,Flutter Development/React Native,Angrybaaz Service Private Limited,"₹ 7,000-12,000 /month",2 days ago,internshala,2023-07-09,
2224870,Mobile App Development,Pregamate Limited,"₹ 3,000 /month",unknown,internshala,2023-07-09,
2221055,Mobile App Development,Appenius Private Limited,"₹ 1,000 /month +  Incentives",unknown,internshala,2023-07-09,
2228244,Content Writing - Computer Science Research Articles,Megaminds IT Services,"₹ 1,000 /month +  Incentives",Few hours ago,internshala,2023-07-09,
2222794,Full Stack Web Development,Rudraksha Welfare Foundation,"₹ 1,500 /month",unknown,internshala,2023-07-09,
2228307,PHP Development,SPIDERWEB,"₹ 4,000-5,000 /month",Few hours ago,internshala,2023-07-09,
2228245,Python Development,Megaminds IT Services,"₹ 2,000 /month +  Incentives",Few hours ago,internshala,2023-07-09,
2228386,Customer Support,StudyMonk,"₹ 5,000 /month",Just now,internshala,2023-07-09,
2220065,Java & Big Data And DevOps,Softnerve Technology Private Limited,"₹ 5,000 /month +  Incentives",unknown,internshala,2023-07-09,
2214815,Mobile App Development,Akshat Gupta,"₹ 5,000-7,000 /month",unknown,internshala,2023-07-09,
2226531,Ruby On Rails Development,Peoplebox,"₹ 15,000 /month",Few hours ago,internshala,2023-07-09,
2228400,WordPress Development,The Learn Cloud,"₹ 10,000 /month",Just now,internshala,2023-07-09,
2228387,Customer Support,StudyMonk,"₹ 10,000 /month",Just now,internshala,2023-07-09,
2225948,Frontend Development,SN Silos,"₹ 8,000-10,000 /month",unknown,internshala,2023-07-09,
